SURFACE,ROUTE,ROLE,VIEWPORT,ORIENTATION,HTTP,PAGE_OVERFLOW,OVERLAP,NAV_MODE,FAB,PRIMARY_ACTION,MODAL_BOUNDS,RESULT
"Short Invalid","/f/INVALID0","guest","390x844","portrait","404","NO","NO","N/A","HIDDEN","N/A","N/A","PASS"
"Traveler","/booking/passengers","guest","390x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Details Sheet","/flights/results (fare sheet)","guest","390x844","portrait","200","NO","NO","FAB_LIFTED","VISIBLE","VISIBLE","ONSCREEN","PASS"
"Public Home","/","guest","844x390","landscape","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","932x430","landscape","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Flight Results","/flights/results?...","guest","844x390","landscape","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Customer Dashboard","/login→portal","customer","390x844","portrait","N/A","N/A","N/A","N/A","N/A","N/A","N/A","BLOCKED_SECURE_SIGNIN_PREP"
"Agent Dashboard","/login→portal","agent","390x844","portrait","N/A","N/A","N/A","N/A","N/A","N/A","N/A","BLOCKED_SECURE_SIGNIN_PREP"
"Admin Dashboard","/login→portal","admin","390x844","portrait","N/A","N/A","N/A","N/A","N/A","N/A","N/A","BLOCKED_SECURE_SIGNIN_PREP"
"Staff Dashboard","/login→portal","staff","390x844","portrait","N/A","N/A","N/A","N/A","N/A","N/A","N/A","BLOCKED_SECURE_SIGNIN_PREP"
"Review (full data)","/booking/review","guest","390x844","portrait","N/A","N/A","N/A","N/A","N/A","N/A","N/A","BLOCKED_FORM_ADVANCE"
"Group Short Link","/g/{code}","guest","390x844","portrait","N/A","N/A","N/A","N/A","N/A","N/A","N/A","PARTIAL_ROUTE_READY"
