route,i,kind,raw,toUrl,app,attempt
home_about,9,soft,666,615,615,1
home_about,10,soft,822,789,789,1
home_about,11,soft,633,596,596,1
home_about,12,soft,595,566,566,1
home_about,13,soft,968,945,945,1
home_about,14,soft,727,635,635,1
home_about,15,soft,513,464,464,1
home_about,16,soft,805,764,764,1
home_about,17,soft,658,630,630,1
home_about,18,soft,506,449,449,1
home_about,19,soft,484,440,440,1
home_faq,0,soft,2185,2066,2066,1
home_faq,1,soft,774,757,757,2
home_faq,2,soft,571,533,533,1
home_faq,3,soft,757,733,733,1
home_faq,4,soft,570,527,527,1
home_faq,5,soft,651,618,618,1
home_faq,6,soft,547,524,524,1
home_faq,7,soft,864,845,845,1
home_faq,8,soft,874,846,846,1
home_faq,9,soft,741,717,717,1
home_faq,10,soft,533,515,515,1
home_faq,11,soft,1353,1331,1331,1
home_faq,12,soft,816,764,764,1
home_faq,13,soft,629,597,597,1
home_faq,14,soft,987,959,959,1
home_faq,15,soft,400,375,375,1
home_faq,16,soft,756,725,725,1
home_faq,17,soft,893,866,866,1
home_faq,18,soft,649,632,632,1
home_faq,19,soft,697,673,673,1
home_terms,0,soft,1361,1299,1299,1
home_terms,1,soft,633,611,611,2
home_terms,2,soft,687,641,641,1
home_terms,3,soft,487,463,463,1
home_terms,4,soft,606,554,554,1
home_terms,5,soft,2350,2336,2336,1
home_terms,6,soft,584,564,564,1
home_terms,7,soft,382,365,365,1
home_terms,8,soft,714,690,690,1
home_terms,9,soft,486,438,438,1
home_terms,10,soft,772,754,754,1
home_terms,11,soft,604,586,586,1
home_terms,12,soft,606,571,571,1
home_terms,13,soft,783,759,759,1
home_terms,14,soft,537,517,517,1
home_terms,15,soft,734,713,713,1
home_terms,16,soft,532,468,468,1
home_terms,17,soft,379,355,355,1
home_terms,18,soft,818,794,794,1
home_terms,19,soft,575,521,521,1
