test,sample_number,timestamp,release_sha,public_build_id,dashboard_build_id,route,duration_ms,supplier_duration_ms,status,retry_reason,supplier_call_count,notes
return_pair_post_supplier,23,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,684,5871,ok,,0,seeded
return_pair_post_supplier,24,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,933,6025,ok,,0,seeded
return_pair_post_supplier,25,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,397,2420,ok,,0,seeded
return_pair_post_supplier,26,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,533,3021,ok,,0,seeded
return_pair_post_supplier,27,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,785,2884,ok,,0,seeded
return_pair_post_supplier,28,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,549,2378,ok,,0,seeded
return_pair_post_supplier,29,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,1498,2825,ok,,0,seeded
return_pair_post_supplier,30,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,flights/results/pair,846,3319,ok,,0,seeded
pair_to_segmented,1,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,277,,ok,,0,
segmented_to_pair,1,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,183,,ok,,0,
pair_to_segmented,2,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,450,,ok,,0,
segmented_to_pair,2,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,390,,ok,,0,
pair_to_segmented,3,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,430,,ok,,0,
segmented_to_pair,3,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,153,,ok,,0,
pair_to_segmented,4,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,355,,ok,,0,
segmented_to_pair,4,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,315,,ok,,0,
pair_to_segmented,5,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,1166,,ok,,0,
segmented_to_pair,5,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,487,,ok,,0,
pair_to_segmented,6,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,604,,ok,,0,
segmented_to_pair,6,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,277,,ok,,0,
pair_to_segmented,7,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,286,,ok,,0,
segmented_to_pair,7,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,347,,ok,,0,
pair_to_segmented,8,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,215,,ok,,0,
segmented_to_pair,8,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,488,,ok,,0,
pair_to_segmented,9,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,157,,ok,,0,
segmented_to_pair,9,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,116,,ok,,0,
pair_to_segmented,10,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,250,,ok,,0,
segmented_to_pair,10,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,104,,ok,,0,
pair_to_segmented,11,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,1057,,ok,,0,
segmented_to_pair,11,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,468,,ok,,0,
pair_to_segmented,12,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,614,,ok,,0,
segmented_to_pair,12,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,203,,ok,,0,
pair_to_segmented,13,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,196,,ok,,0,
segmented_to_pair,13,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,198,,ok,,0,
pair_to_segmented,14,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,561,,ok,,0,
segmented_to_pair,14,2026-09-19T14:48:26.688Z,36221ac0859578dd82d9b3094433b50875dc5b06,H9TYWa1Q2VFnwaR4TlPZy,dOefZBIOnEl7EbTETViNa,view_switch,307,,ok,,0,
